output_id,example_id,language,vuln_type,tool,model,model_version,run,clarity_score,clarity_why,severity_justification_score,severity_justification_why,specificity_score,specificity_why,actionability_score,actionability_why,completeness_score,completeness_why,written_feedback,scored_at
OUT005,EX002,java,sqli,semgrep,claude,claude-opus-5,1,4,"The message reads plainly (""Detected a formatted string in a SQL statement. This could lead to SQL injection...""), though the grammar slip ""Use a prepared statements"" and the term ""formatted string"" (the query is actually a passed-in parameter here) add small friction.",3,"It gives a label, ""Severity: WARNING"", and only a generic class-level rationale (""This could lead to SQL injection if variables in the SQL statement are not properly sanitized"") without tying risk to this helper method or the data it exposes.",4,"It pinpoints ""line 94, column 25"", i.e. the `statement.executeQuery(query)` call, but never names the offending element (the `query` argument) in the prose.",4,"It names the fix and how to start it: ""Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'"", plus an OWASP link, but gives no concrete rewrite showing parameter binding for this generic `getSqlInt(Connection, String)` helper.",5,"All five parts are present: severity (""WARNING""), issue description (""Detected a formatted string in a SQL statement""), location (""line 94, column 25""), why it is vulnerable (""could lead to SQL injection if variables ... are not properly sanitized""), and remediation (""Use a prepared statements ... 'connection.prepareStatement'"").","The warning is easy to read and follows a familiar pattern: it says what was detected, where, why it matters and what to use instead, and it ends with an OWASP reference. The main clarity issues are cosmetic or terminological — ""Use a prepared statements"" is ungrammatical, and calling the argument a ""formatted string"" doesn't quite match the code, where `getSqlInt` simply receives a `String query` from callers; a developer looking at line 94 in isolation may be briefly confused about what exactly is 'formatted'.

Specificity is good: line 94 with a column offset lands directly on `statement.executeQuery(query)`, so there is no hunting. It stops short of the top mark only because it does not say in words that the `query` parameter is the untrusted sink input, nor does it trace where that parameter comes from (the callers at lines 100–106 all pass constant strings, which is context a developer would want).

The severity label ""WARNING"" is stated but never justified for this specific code. There is no discussion of what an attacker could actually achieve here — data disclosure, tampering, authentication bypass — nor any acknowledgement that the immediate callers use literal SQL, which would affect how urgently a developer treats it. It reads as a boilerplate severity applied to a rule class rather than a judgement about this method.

Remediation is concrete enough to start work: switch to `java.sql.PreparedStatement` via `connection.prepareStatement`. What's missing is guidance tailored to this helper — the method takes a whole query string, so 'just use a PreparedStatement' requires refactoring the signature to accept parameters and bind them with `setX()`, and the note about `TYPE_SCROLL_SENSITIVE, CONCUR_UPDATABLE` carrying over to `prepareStatement` would have been useful. A short before/after example would have pushed this to full marks.

All five expected elements are present, so completeness is not an issue; the gaps are in depth rather than coverage.",2026-08-21T17:24:15.155520+00:00
OUT005,EX002,java,sqli,semgrep,chatgpt,gpt-5.5-2026-04-23,1,4,"The output is mostly easy to understand because it states ""Detected a formatted string in a SQL statement"" and explains that this ""could lead to SQL injection,"" though the wording ""Use a prepared statements"" is slightly awkward.",3,"The output gives the label ""Severity: WARNING"" and broadly explains that the issue ""could lead to SQL injection if variables in the SQL statement are not properly sanitized,"" but it does not explain why this particular code deserves that severity.",4,"The output identifies a precise location with ""Location: line 94, column 25,"" but it does not quote or name the exact expression on that line that is responsible.",4,"The output gives a concrete general fix, ""Use a prepared statements (java.sql.PreparedStatement) instead"" and says it can be obtained using ""connection.prepareStatement,"" but it does not show how to rewrite this specific code.",5,"The output includes all expected parts: a severity label, a description in ""Detected a formatted string in a SQL statement,"" a code location, an explanation of SQL injection risk, and remediation guidance to use ""PreparedStatement.""","The warning is generally clear: it names SQL injection, identifies the risky SQL execution pattern, gives a severity label, and points to a specific line and column. It is reasonably specific because it gives line 94, column 25, although it would be better if it quoted the relevant code, such as the executeQuery(query) call, or explained that the query string passed into the helper is the concern. The severity is only partly justified: it says SQL injection could happen if variables are not sanitized, but it does not connect that risk to this code path or describe possible consequences such as unauthorized data access or modification. The fix is useful but not complete; recommending PreparedStatement and connection.prepareStatement is helpful, but there is no example of how to change this helper method or bind parameters safely. Overall, the output contains the main expected information, but it could be more tailored to the actual code.",2026-08-21T17:24:28.973908+00:00
OUT005,EX002,java,sqli,semgrep,gemini,gemini-3.1-pro-preview,1,5,"The output is easy to understand, using straightforward language to state that it ""Detected a formatted string in a SQL statement"".",3,"The output provides a severity label of ""WARNING"" and broadly explains that it ""could lead to SQL injection if variables... are not properly sanitized"", without relating it directly to the specific snippet.",5,"The output precisely identifies the exact code line and specific part of the line responsible by pointing to ""line 94, column 25"".",2,"The output advises to ""Use a prepared statements (java.sql.PreparedStatement) instead"", which is a broad fix applicable to similar issues rather than tailored guidance for the code snippet.",5,"The output includes all five expected parts: a severity label, description, code location, vulnerability explanation, and remediation guidance.","The output was very clear and easy to read, avoiding overly technical jargon. It was highly specific in locating the issue, giving both the exact line and column number. However, the actionability and severity justification were both somewhat generic. While it correctly suggested using a `PreparedStatement`, it didn't provide specific instructions on how to refactor the provided `getSqlInt` method to implement this change. Similarly, the explanation of the risk was a broad definition of SQL injection rather than an explanation of how the `query` parameter in this specific snippet could be exploited. Despite being a bit generic, the output was complete and no key information was missing.",2026-08-21T17:24:46.161962+00:00
OUT014,EX007,java,xss,codeql,claude,claude-opus-5,1,4,"The message ""Cross-site scripting vulnerability due to a [user-provided value](1)"" plus the guidance line is short and readable, though the unresolved link marker ""(1)"" and the bare label ""Severity: error"" leave small gaps.",3,"It labels the finding ""Severity: error"" and only offers the generic rationale ""Writing user input directly to a web page allows for a cross-site scripting vulnerability"", with nothing about this servlet's query-string data or the consequences of exploitation.",4,"It gives ""Location: line 32, column 42"", pinpointing the exact line and a column offset within it, but never names the `data` variable or the `response.getWriter().println(...)` sink in text.",2,"The only advice is the restatement ""Writing user input directly to a web page allows for a cross-site scripting vulnerability"", which implies avoiding direct output but suggests no encoding, escaping or validation step.",4,"Severity (""error""), issue description (""Cross-site scripting vulnerability""), location (""line 32, column 42"") and a why-vulnerable explanation (""user input directly to a web page"") are present, but concrete remediation guidance is absent.","The output reads cleanly and gets to the point quickly: it names the vulnerability class (XSS), attributes it to a user-provided value, and pins it to line 32, column 42, which is exactly where the tainted `data` string is concatenated into the `<img src=""..."">` markup. That precise location, including a column offset, means a developer would land on the right expression immediately, even though the output never quotes the offending code or names the `data` variable or the `getWriter().println` sink, which would have made the trace self-explanatory. The reference marker ""[user-provided value](1)"" hints at a source-to-sink path but appears unresolved here, so the reader cannot see that the taint originates from `request.getQueryString()` on line 45.

Severity is asserted rather than argued: ""error"" is stated with no scale context, and the supporting sentence is a textbook statement about the risk class rather than anything tied to this servlet or to what an attacker could achieve, such as injecting an attribute-breaking payload through the query string to run script in a victim's browser or steal session cookies.

The weakest dimension is actionability. The guidance simply restates the cause instead of telling the developer what to do: there is no mention of HTML attribute encoding, of using an encoding library, of quoting/validating the attribute value, or of any framework-level output escaping. A one-line fix example would have made this immediately resolvable.

Overall, four of the five expected parts are present, with remediation guidance the notable omission.",2026-08-21T17:25:10.542860+00:00
OUT014,EX007,java,xss,codeql,chatgpt,gpt-5.5-2026-04-23,1,4,"The output is mostly easy to understand because it states ""Cross-site scripting vulnerability"" and ""Writing user input directly to a web page,"" though ""[user-provided value](1)"" is somewhat unclear without showing what value it refers to.",2,"The output gives the severity label ""Severity: error"" but does not explain why this warning is an error-level issue or what impact exploitation could have.",5,"The output identifies the relevant location with ""Location: line 32, column 42,"" which points to the exact line and approximate part of the line.",2,"The output only gives broad guidance, ""Writing user input directly to a web page allows for a cross-site scripting vulnerability,"" but does not say to encode, sanitize, validate, or otherwise modify the specific code.",4,"The output includes a severity label, issue description, code location, and a brief explanation in ""Guidance,"" but it lacks real remediation guidance on how to fix the issue.","The output is concise and mostly clear: it says this is an XSS issue and gives a precise line and column. However, the severity is not justified beyond labeling it as an error, and it does not explain the possible consequences of the vulnerability. The location is specific, but the message does not name the exact variable or show the vulnerable expression, so the developer still has to infer that the concatenated data value is the problem. The biggest weakness is actionability: it warns against writing user input directly to the page but does not explain how to fix it, such as by HTML-attribute encoding the value before inserting it into the img src attribute or avoiding direct concatenation into HTML. It includes most expected information, but remediation guidance is missing or too vague.",2026-08-21T17:25:26.399608+00:00
OUT014,EX007,java,xss,codeql,gemini,gemini-3.1-pro-preview,1,5,"The output is easy to understand because it concisely explains the issue using straightforward language like ""Cross-site scripting vulnerability"" and ""Writing user input directly to a web page.""",2,"The output provides a severity label of ""error"" but contains no words explaining the potential impact or why the issue is serious.",5,"The output points to ""line 32, column 42"", successfully identifying the exact code line and the specific part of the line responsible for the issue.",1,"The output suggests no fix, as the ""Guidance"" section only explains why the code is vulnerable without offering any suggestions on what to change.",4,"The output includes four of the five expected parts (severity label, description, location, and explanation), but completely lacks remediation guidance.","The output is very clear and easy to read, clearly describing the cross-site scripting vulnerability in simple terms. It is also extremely specific, pointing precisely to the line and column where the vulnerable data is outputted. However, the output falls short on actionability; while it explains why the code is vulnerable, it offers no advice or guidance on how to fix the issue (e.g., suggesting encoding or sanitization). Additionally, it provides an 'error' severity label but does not justify it by explaining the potential impact of an XSS attack. Because the remediation guidance is absent, the output is ultimately incomplete.",2026-08-21T17:25:43.675488+00:00
OUT022,EX012,java,path-traversal,bearer,claude,claude-opus-5,1,4,"The message ""Unsanitized user input in file path"" plus a clearly structured Description/Remediations layout reads easily, though the inline example is presented with a stray ""java"" marker and unformatted code block that slightly disrupts the flow.",3,"It states ""Severity: high"" and explains the class of risk generically (""Attackers can exploit this to access unauthorized files or directories, leading to data breaches"") without tying it to the `id` parameter, `catPicturesDirectory`, or the secret file check in this snippet.",4,"""Location: line 101"" pins the exact line where the File is built, but it never names the offending expression (`request.getParameter(""id"")` / the `id` concatenation) within that line.",4,"The remediation names a concrete technique and API (""use methods like FilenameUtils.getName() to safely extract only the intended file name"") plus a safelist recommendation and a short code example, but the example is a generic servlet rather than an adaptation of the `new File(catPicturesDirectory, id + "".jpg"")` call.",5,"All five parts are present: severity (""high""), issue description (""Unsanitized user input in file path""), location (""line 101""), why it is vulnerable (""directly uses input from the user to determine file paths ... without proper validation""), and remediation guidance with a documentation link.","The output is easy to read and follows a predictable structure: a one-line message, then a description, then bulleted do/don't remediations. The wording is plain and the security concept (user-controlled data flowing into a file path) is explained without jargon, so a developer unfamiliar with path traversal would still get the point. The only friction is the code example, which is dropped in with a bare ""java"" label and no clear delimiting, making it read a little awkwardly.

Specificity is good but not perfect. Line 101 is exactly where the File object is constructed from the `id` parameter, so the developer is taken straight to the right place. However, the output never quotes the offending fragment, so it doesn't distinguish between the `catPicturesDirectory` base, the `id` value from `request.getParameter(""id"")` on line 99, or the `.jpg` concatenation. Naming the tainted variable and its source would have removed all ambiguity.

The severity rating of ""high"" is asserted but justified only in general terms about what path traversal issues can cause. It does not engage with what is actually in this snippet, notably the query-string filter on lines 94-96 that blocks "".."" and ""/"", or the fact that a `path-traversal-secret.jpg` file is explicitly served. Explaining why the existing filter is insufficient, or what a successful attack would expose here, would have made the high rating far more convincing.

Remediation is reasonably actionable: it recommends a safelist of permitted paths and points to `FilenameUtils.getName()` as a concrete sanitiser, with a short illustrative snippet and a link to the rule documentation. What is missing is the mapping onto this code, for example how to canonicalise the resulting File and check it stays under `catPicturesDirectory`, or how to validate that `id` is a numeric value in the expected range. All five expected elements are present, so the finding is complete; it is the tailoring to this particular code, especially in the severity reasoning, that is the weak point.",2026-08-21T17:26:07.405776+00:00
OUT022,EX012,java,path-traversal,bearer,chatgpt,gpt-5.5-2026-04-23,1,4,"The output is mostly easy to understand because it states the issue plainly as ""Unsanitized user input in file path"" and explains that attackers can ""access unauthorized files or directories,"" though the guidance section is somewhat generic.",3,"The output gives the label ""Severity: high"" and broadly explains that exploitation can lead to ""data breaches or other security compromises,"" but it does not explain why this specific line in this code is high severity.",4,"The output identifies the exact location with ""Location: line 101,"" but it does not point to the specific expression or variable on that line responsible for the issue.",4,"The output gives useful remediation advice such as ""use a safelist"" and ""sanitize user input"" with an example using ""FilenameUtils.getName(),"" but it does not show exactly how to modify this snippet.",5,"The output includes all expected parts: ""Severity: high,"" a message describing the issue, ""Location: line 101,"" an explanation of the vulnerability, and ""Remediations"" guidance.","The warning is clear overall: it names the problem, gives a high severity label, identifies line 101, and explains that unsanitized user input in file paths can let attackers access unauthorized files. Its main weakness is that much of the explanation and remediation is generic rather than tailored to the shown code. It does not specifically mention the `id` parameter or the `new File(catPicturesDirectory, ... + "".jpg"")` construction, so the developer has to infer exactly what part of the line needs attention. The fix advice is useful because it recommends safelisting and sanitization and gives a concrete API example, but it would be more actionable if it showed how to validate or constrain `id` in this endpoint. Nothing major is missing; the output contains severity, description, location, vulnerability explanation, and remediation guidance.",2026-08-21T17:26:22.021394+00:00
OUT022,EX012,java,path-traversal,bearer,gemini,gemini-3.1-pro-preview,1,5,"The output is easy to understand, providing a clear explanation of the issue and straightforward remediation steps.",3,"The output gives a severity of 'high' and broadly explains that attackers can 'access unauthorized files or directories,' but it does not relate this to the specific code snippet.",4,"The output points to the exact code line ('Location: line 101') but does not specify which part of the line (e.g., the 'id' variable) is responsible.",2,"The output suggests broad fixes, such as using a safelist or 'FilenameUtils.getName()', providing an unrelated generic example rather than showing how to apply the fix to the provided code snippet.",5,"The output includes all five expected parts: a severity label, a description of the issue, a code location, an explanation of the vulnerability, and remediation guidance.","The SAST output is highly readable and logically structured, making it easy to understand the general nature of the path traversal vulnerability. However, its usefulness is limited by its generic nature. While it provides a severity label and explains the dangers of path traversal, it does not explain the severity in the context of the specific code snippet. Similarly, it identifies the exact line number (101) but does not highlight the specific unsanitized variable (`id`). The actionability suffers most from this generic approach; instead of telling the developer exactly how to modify line 101, it provides abstract advice (like using a safelist) and a code example completely unrelated to the application. Despite these drawbacks, the output is comprehensive and includes all five required components.",2026-08-21T17:26:35.421342+00:00
OUT030,EX017,java,cmd-injection,semgrep,claude,claude-opus-5,1,5,"The message reads plainly — ""Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command"" — and the fix advice is in ordinary language, with only the long rule ID (""java.lang.security.audit.tainted-cmd-from-http-request"") being jargon-heavy.",3,"It gives ""Severity: ERROR"" and a generic rationale, ""This could lead to command injection if variables passed into the exec commands are not properly sanitized"", without tying the risk to this snippet's cookie-derived `data` or describing the concrete impact of an attacker appending shell commands to `/bin/ls`.",4,"It pinpoints ""Location: line 49, column 9"", the exact `Runtime.getRuntime().exec(osCommand + data)` line, but never names the tainted variable `data` or the concatenation as the offending part of the line.",3,"The remedy is stated in general terms — ""avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values"" plus an OWASP link — with no instruction about what to do with `data` in this particular call.",5,"All five parts appear: severity (""ERROR""), description (""Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command""), location (""line 49, column 9""), why it is vulnerable (""could lead to command injection if variables ... are not properly sanitized""), and remediation (whitelist / avoid OS commands, with OWASP link).","The output is easy to read: one sentence tells you what was detected, one tells you why it matters, and one tells you what to do, all in plain language. The only friction is the very long rule identifier, which carries little meaning for a developer but doesn't obscure the finding.

It is precise about location, naming line 49 and even a column, which lands squarely on the `Runtime.getRuntime().exec(...)` call. What it stops short of is naming the actual tainted element — `data`, which comes from `bad_source()` reading cookies — or pointing at the string concatenation `osCommand + data` as the mechanism. A reader still has to trace back a few lines to see where the untrusted value enters.

Severity is labelled ERROR but justified only in the abstract: command injection is possible ""if variables passed into the exec commands are not properly sanitized"". There is no statement of what an attacker could actually achieve here — that a cookie value appended to `/bin/ls ` or `cmd.exe /c dir ` could let arbitrary commands run with the server's privileges — so the label reads as a category default rather than a reasoned assessment of this code.

The fix advice is sensible but generic: avoid OS commands with user input, or use a whitelist. That is a direction rather than a recipe. It does not say whether to validate the cookie value, drop the concatenation in favour of a ProcessBuilder argument array, or replace the shell call entirely, and no code example is given; the OWASP link is a starting point rather than concrete help.

Nothing expected is missing — severity, description, location, cause and remediation are all present — so the shortfall is in depth rather than coverage: the explanation and fix are boilerplate for the rule rather than tailored to this snippet.",2026-08-21T17:26:56.745587+00:00
